"filename", "language", "JSON", "JavaScript", "PowerShell", "Markdown", "comment", "blank", "total"
"c:\Users\HP\Downloads\Kia_Cron_Job\KT_HANDOVER.md", "Markdown", 0, 0, 0, 417, 0, 148, 565
"c:\Users\HP\Downloads\Kia_Cron_Job\PRODUCTION_DEPLOYMENT.md", "Markdown", 0, 0, 0, 215, 0, 92, 307
"c:\Users\HP\Downloads\Kia_Cron_Job\README.md", "Markdown", 0, 0, 0, 138, 0, 55, 193
"c:\Users\HP\Downloads\Kia_Cron_Job\ecosystem.config.cjs", "JavaScript", 0, 135, 0, 0, 0, 1, 136
"c:\Users\HP\Downloads\Kia_Cron_Job\package-lock.json", "JSON", 2248, 0, 0, 0, 0, 1, 2249
"c:\Users\HP\Downloads\Kia_Cron_Job\package.json", "JSON", 44, 0, 0, 0, 0, 2, 46
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-am-platinum-historical-backfill.js", "JavaScript", 0, 299, 0, 0, 0, 35, 334
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-awake.ps1", "PowerShell", 0, 0, 36, 0, 0, 8, 44
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-demo-car-list-once.js", "JavaScript", 0, 12, 0, 0, 0, 2, 14
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-hmil-historical-backfill.js", "JavaScript", 0, 295, 0, 0, 0, 34, 329
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-jk501-historical-once.js", "JavaScript", 0, 187, 0, 0, 0, 22, 209
"c:\Users\HP\Downloads\Kia_Cron_Job\scripts\run-jk501-operation-wise-recovery-once.js", "JavaScript", 0, 169, 0, 0, 0, 18, 187
"c:\Users\HP\Downloads\Kia_Cron_Job\src\accounts\gdms-account-profile.js", "JavaScript", 0, 87, 0, 0, 0, 9, 96
"c:\Users\HP\Downloads\Kia_Cron_Job\src\auth\hmil-login.js", "JavaScript", 0, 261, 0, 0, 1, 39, 301
"c:\Users\HP\Downloads\Kia_Cron_Job\src\auth\login.js", "JavaScript", 0, 144, 0, 0, 0, 29, 173
"c:\Users\HP\Downloads\Kia_Cron_Job\src\config.js", "JavaScript", 0, 239, 0, 0, 0, 9, 248
"c:\Users\HP\Downloads\Kia_Cron_Job\src\cron\am-platinum-scheduler.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\Users\HP\Downloads\Kia_Cron_Job\src\cron\gdms-account-scheduler.js", "JavaScript", 0, 254, 0, 0, 0, 34, 288
"c:\Users\HP\Downloads\Kia_Cron_Job\src\cron\hmil-scheduler.js", "JavaScript", 0, 6, 0, 0, 0, 4, 10
"c:\Users\HP\Downloads\Kia_Cron_Job\src\cron\scheduler.js", "JavaScript", 0, 430, 0, 0, 0, 52, 482
"c:\Users\HP\Downloads\Kia_Cron_Job\src\cron\sequential-test.js", "JavaScript", 0, 18, 0, 0, 0, 7, 25
"c:\Users\HP\Downloads\Kia_Cron_Job\src\excel\parse-workbook.js", "JavaScript", 0, 259, 0, 0, 0, 51, 310
"c:\Users\HP\Downloads\Kia_Cron_Job\src\navigation\dealer-change.js", "JavaScript", 0, 221, 0, 0, 0, 40, 261
