id,row_hash,report_month,report_period_start,report_period_end,report_type,dealer_code,source_dealer_code,op_part_code,op_part_desc,sac_hsn,santro_count,santro_tax,santro_amt,santro_tot_amt_tax_amt,getz_count,getz_tax,getz_amt,getz_tot_amt_tax_amt,accent_count,accent_tax,accent_amt,accent_tot_amt_tax_amt,elantra_count,elantra_tax,elantra_amt,elantra_tot_amt_tax_amt,nf_sonata_count,nf_sonata_tax,nf_sonata_amt,nf_sonata_tot_amt_tax_amt,e_f_sonata_count,e_f_sonata_tax,e_f_sonata_amt,e_f_sonata_tot_amt_tax_amt,tucsan_count,tucsan_tax,tucsan_amt,tucsan_tot_amt_tax_amt,terracan_count,terracan_tax,terracan_amt,terracan_tot_amt_tax_amt,i10_count,i10_tax,i10_amt,i10_tot_amt_tax_amt,i20_count,i20_tax,i20_amt,i20_tot_amt_tax_amt,verna_count,verna_tax,verna_amt,verna_tot_amt_tax_amt,new_santro_count,new_santro_tax,new_santro_amt,new_santro_tot_amt_tax_amt,next_gen_verna_count,next_gen_verna_tax,next_gen_verna_amt,next_gen_verna_tot_amt_tax_amt,venue_count,venue_tax,venue_amt,venue_tot_amt_tax_amt,grand_i10_nios_count,grand_i10_nios_tax,grand_i10_nios_amt,grand_i10_nios_tot_amt_tax_amt,new_creta_count,new_creta_tax,new_creta_amt,new_creta_tot_amt_tax_amt,new_i20_count,new_i20_tax,new_i20_amt,new_i20_tot_amt_tax_amt,elite_i20_count,elite_i20_tax,elite_i20_amt,elite_i20_tot_amt_tax_amt,xcent_count,xcent_tax,xcent_amt,xcent_tot_amt_tax_amt,other_count,other_tax,other_amt,other_tot_amt_tax_amt,total_count,total_tax,total_amt,total_tot_amt_tax_amt,uploaded_at
385535,ad385868f5b78a1fb0091221f1ce14cc424e9e316c5756b66e5b42a8e8d499d2,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,0K95A40306A,GASKET-EXHAUST PIPE,84841010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,100,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,100,118,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
450983,8107a8940c71bb79b185c41fc255d690fd0bebb867ebbf7ea7b0128fb8f84adf,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,1140308506K,BOLT,73181500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31.96,177.58,209.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,31.96,177.58,209.54,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
451079,9f9a958c7acf50e706a153fde10ebb5d722947c6d15490dea87f99e2d1c3a9ff,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,1249206207B,SCREW-TAPPING,73181400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14.65,81.38,96.03,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
374087,fad4bbd4945ca4512753c7fcddd6ee20bbecb7268a43f916fef93cf86e2b37ac,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,1350810006,WASHER-PLAIN,73182200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.12,4.88,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9.76,54.24,64,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
342596,38cac0364f69f3e04ee06fc7cd4caf695c8c245649c453332a1bf7f8838821aa,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,1879001031,MULTI FUSE,85361090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1264.4,227.6,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,227.6,1264.4,1492,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
378648,cfbf4df8f9f5603c51d0fc6478d36996789c1252f93c644ad2b66209d217a733,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,1879005264,FUSE-MICRO 25A,85361020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.16,39.84,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.16,39.84,47,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
337398,c8c81e7b3d6798dbd2181c51e9acb0248cf4dc242a3ba724a142d0e6ab8b03b7,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,2103003000,BEARING PAIR SET-CRK/SHF CTR,84833000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,190.36,1057.63,1247.99,0,0,0,0,2,190.36,1057.63,1247.99,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
376205,c51b48f26cca7e0a241855774d89ca9ad24906b92065a1677dae14838f135916,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,2135002600,COVER ASSY-TIMING BELT LWR,84099199,1,117.68,420.32,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,117.68,420.32,538,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
378550,a6053fc4abde072300c9747ce9b97a31f57c30ca2516bcc083a711a9d8dcb73f,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,2135603000,BOLT-FLANGE,73181500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.98,61,71.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10.98,61,71.98,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
338034,5a57302780e16405a354f1c92f07eb5fe8c8083f11297000939d8ec2847b378a,Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Sun Jun 01 2025 00:00:00 GMT+0530 (India Standard Time),Mon Jun 30 2025 00:00:00 GMT+0530 (India Standard Time),Part,N5216,N5216,2142121030,SEAL-OIL,84133020,1,47.68,170.32,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47.68,170.32,218,Sat Jun 20 2026 18:22:36 GMT+0530 (India Standard Time)
